team,season,opp_def_epa_per_play,opp_def_rush_epa,opp_def_rush_yards
PHI,2018,0.010363919,-0.0117820045,4.6716866
PHI,2019,-0.029076105,-0.16060326,4.0849857
PHI,2020,0.011880559,-0.057427794,4.1787944
PHI,2021,-0.010782388,-0.059930343,4.004367
PHI,2022,-0.051374737,0.042774744,4.636771
PHI,2023,0.041935828,0.041015953,4.287805
PHI,2024,-0.057879124,-0.11474314,4.2572117
PIT,2016,-0.007716563,-0.03852631,4.3360434
PIT,2017,-0.039485168,-0.020542618,4.397403
PIT,2018,-0.0074220495,-0.00958692,4.1680217
PIT,2019,-0.11713836,-0.17722495,3.7943723
PIT,2020,-0.08446879,-0.072706975,4.306763
PIT,2021,-0.02290024,0.03696609,4.985944
PIT,2022,0.0120673105,-0.061042886,4.158371
PIT,2023,-0.056538366,-0.06457465,4.30837
PIT,2024,-0.025132218,-0.08664552,4.0728154
SEA,2016,-0.0680448,-0.16706288,3.3718822
SEA,2017,-0.058634344,-0.09506446,4.035398
SEA,2018,-0.010434672,-0.077691324,4.948087
SEA,2019,-0.00908191,-0.007270112,4.8530927
SEA,2020,0.013064574,-0.100696735,3.9005103
SEA,2021,-0.004009548,-0.078800194,3.795678
SEA,2022,0.0053144954,0.008975251,4.864762
SEA,2023,0.04019476,0.016275002,4.5669904
SEA,2024,-0.010260276,-0.035908803,4.5521064
SF,2016,0.053680457,1.0195977e-05,4.8430657
SF,2017,0.0092594735,-0.10443358,3.790224
SF,2018,0.04108744,-0.08384665,4.06982
SF,2019,-0.1183586,-0.117228694,4.4937654
SF,2020,0.0035862492,-0.06982348,3.9604652
SF,2021,-0.007787928,-0.07062199,4.0091114
SF,2022,-0.113561496,-0.14110689,3.395887
SF,2023,-0.045505784,-0.02590818,4.1327915
SF,2024,0.06454834,0.039473396,4.4495797
TB,2016,-0.019404797,-0.0151429325,4.391101
TB,2017,0.019623457,-0.08219512,4.2727275
TB,2018,0.074631706,0.00061150437,4.6549296
TB,2019,-0.03681219,-0.18192542,3.262431
TB,2020,-0.03901908,-0.13608755,3.6005588
TB,2021,-0.055116702,-0.07113638,4.2978144
TB,2022,-0.018629132,-0.06366754,4.4803495
TB,2023,-0.040177315,-0.10662496,3.8151658
TB,2024,0.0043056854,-0.046311878,4.2750645
TEN,2016,0.0042179315,-0.102762245,3.9691012
TEN,2017,-0.023929669,-0.18218371,3.5678391
TEN,2018,-0.021593638,-0.054061826,4.3426576
TEN,2019,-0.037808668,-0.110775135,4.028916
TEN,2020,0.0891367,0.0067385114,4.5269322
TEN,2021,-0.045444846,-0.04707572,3.9076087
TEN,2022,-0.009191814,-0.12710565,3.3512821
TEN,2023,0.033262447,-0.11289031,3.8145833
TEN,2024,0.03776109,-0.0035874452,4.526839
WAS,2016,0.042384524,-0.015547185,4.529551
WAS,2017,-0.04252692,0.0118300645,4.4788136
WAS,2018,0.008042487,0.0013671209,4.503632
WAS,2019,0.047861047,-0.003398999,4.744422
WAS,2020,-0.048531476,-0.07044121,4.21729
WAS,2021,0.04392373,-0.057825465,4.127907
WAS,2022,-0.041130114,-0.10104701,4.367347
WAS,2023,0.07420189,-0.027003696,4.4895835
WAS,2024,0.04087971,-0.017568132,4.7693877
