season_x,club_code,week,game_type,depth_team,last_name,first_name,football_name,formation,gsis_id,jersey_number,position,elias_id,depth_position,full_name,player_id,season_y,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,player_score
2024,PHI,22.0,SB,2,Calcaterra,Grant,Grant,Offense,00-0037086,81,TE,CAL069215,TE,Grant Calcaterra,00-0037086,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,30.0,298.0,1.0,0.0,0.0,220.0,126.0,15.0,15.894599471706895,0.0,18.15351966873706,1.2872515394150876,1.128004596485504,2.720480526662484,0.0,35.800000000000004,59.8,13.0,0.0895522388059701,0.0830188679245283,0.109090909090909,0.2007434525485778,0.1098415038702543,0.0454545454545454,0.1136363636363636,0.1038961038961039,0.0776480246623999,0.0969641121871125,0.8895522388059701,0.0513075708696547,55.4
2024,PHI,22.0,SB,2,Gainwell,Kenneth,Kenneth,Offense,00-0036919,14,RB,GAI606964,RB,Kenneth Gainwell,00-0036919,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,290.0,1.0,0.0,0.0,12.0,-11.499512397604214,0.0,16.0,22.0,116.0,0.0,0.0,0.0,23.0,108.0,5.0,2.349299094901653,0.0,4.90340909090909,0.84665781109532,0.1151992671528439,1.3506262036499708,0.0,46.6,62.6,16.0,0.0512820512820512,0.0069131349564171,0.0711462450592885,0.0824535848882106,0.0341276846131215,0.0,0.031055900621118,0.0271739130434782,0.0170638423065607,0.0273021476904972,0.2703962703962704,0.0436949450672176,13.8
2024,PHI,22.0,SB,2,Wilson,Johnny,Johnny,Offense,00-0039236,89,WR,WIL733437,WR,Johnny Wilson,00-0039236,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0,38.0,1.0,0.0,0.0,147.0,15.0,3.0,-1.154108721046577,0.0,2.057739557739558,0.5029590319613751,0.7449449859712565,1.2759000381219423,0.0,9.8,14.8,9.0,0.0555555555555555,0.0750382848392036,0.0151515151515151,0.1433639612046962,0.0191628845184064,0.0769230769230769,0.0303030303030303,0.0357142857142857,0.0480429807207416,0.0307149229993405,0.1407407407407407,0.0183095803642121,20.5
2024,KC,22.0,SB,3,Watson,Justin,Justin,Offense,00-0034386,84,WR,WAT441238,WR,Justin Watson,00-0034386,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,32.0,289.0,2.0,0.0,0.0,486.0,68.0,13.0,19.086959395985367,0.0,13.165940968687954,1.024190904240227,2.237224812145197,3.1023437248619787,0.0,40.9,62.9,15.0,0.0610687022900763,0.1436170212765957,0.0341536916122551,0.2064966704563911,0.082453637660485,0.08,0.0673575129533678,0.0688073394495412,0.0812268188302425,0.081962910128388,0.5515267175572519,0.0483771727426549,49.4
2024,KC,22.0,SB,3,Perine,Samaje,Samaje,Offense,00-0033526,34,RB,PER095343,RB,Samaje Perine,00-0033526,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,92.0,1.0,0.0,0.0,7.0,-0.6897319894387277,0.0,28.0,35.0,322.0,1.0,0.0,0.0,11.0,313.0,16.0,14.76098796961564,0.0,40.22799422799423,1.0269846725949752,0.0596224804614817,1.5822127452155,0.0,53.4,81.4,17.0,0.0583333333333333,0.0028901734104046,0.132179054054054,0.0898121387283236,0.0795847750865051,0.0384615384615384,0.0730593607305936,0.0693877551020408,0.0590231567740218,0.0713601277615118,0.5366666666666666,0.0553199586799325,17.4
2024,KC,22.0,SB,3,Remigio,Nikko,Nikko,Offense,00-0038519,81,WR,REM240921,WR,Nikko Remigio,00-0038519,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,48.0,0.0,0.0,0.0,64.0,14.0,2.0,-0.4014542973600328,0.0,0.75,0.3529411764705882,0.5333333333333333,0.9027450980392157,0.0,4.800000000000001,6.800000000000001,1.0,0.3529411764705882,0.5333333333333333,0.2641509433962264,0.956078431372549,0.4897959183673469,,0.5,0.5,,,2.823529411764706,0.2573807721423164,39.5
2024,KC,22.0,SB,3,Hendershot,Peyton,Peyton,Offense,00-0037569,88,TE,HEN032321,TE,Peyton Hendershot,00-0037569,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,51.0,0.0,0.0,0.0,19.0,32.0,2.0,2.676036292279605,0.0,4.125,0.1987146471491822,0.117357910906298,0.3802225083581819,0.0,5.1,10.1,4.0,0.0367647058823529,0.022700119474313,0.0655737704918032,0.0733071544029798,0.0599294947121034,0.0,0.0392156862745098,0.0344827586206896,0.0299647473560517,0.0479435957696827,0.375,0.0322951972884824,15.7
2024,PHI,22.0,SB,3,McKee,Tanner,Tanner,Offense,00-0038400,16,QB,MCK156404,QB,Tanner McKee,00-0038400,2024.0,REG,30.0,45.0,323.0,4.0,0.0,2.0,17.0,0.0,0.0,322.0,138.0,17.0,14.677713276299729,0.0,2.034757834757835,0.0972812590654128,5.0,-1.0,0.0,0.0,0.0,1.0,-3.002825558243785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.82,28.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1564264003473729,69.9
2024,PHI,22.0,SB,3,Shipley,Will,Will,Offense,00-0039746,28,RB,SHI386967,RB,Will Shipley,00-0039746,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,82.0,0.0,0.0,0.0,2.0,-8.365768767261237,0.0,4.0,4.0,35.0,0.0,0.0,0.0,7.0,28.0,2.0,2.299397205915909,0.0,5.0,0.0975609756097561,0.0259259259259259,0.1644896115627823,0.0,11.7,15.7,5.0,0.0341880341880341,0.007470651013874,0.0767123287671232,0.0572585720931505,0.0370762711864406,0.0,0.0425531914893617,0.037037037037037,0.0185381355932203,0.0296610169491525,0.2991452991452991,0.0375634031964781,7.3
2024,PHI,22.0,SB,3,Jenkins,Emanuel,E.J.,Offense,00-0038498,84,TE,JEN184122,TE,Emanuel Jenkins,00-0038498,2024.0,REG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,0.0,9.0,3.0,1.0,0.7996061170706525,0.0,1.75,0.0799457994579945,0.0422873422873422,0.1495198387881314,0.0,6.7,7.7,2.0,0.0333333333333333,0.019438444924406,0.0181818181818181,0.0655507559395248,0.0150214592274678,0.2,0.0476190476190476,0.0769230769230769,0.1075107296137339,0.0520171673819742,0.1166666666666666,0.0417933130699088,30.7
