team,season,week,l5_off_epa,l5_def_epa
DAL,2020,11,-0.18293470963835717,0.030361684318631888
DAL,2020,12,-0.16853889673948289,0.04763001278042793
DAL,2020,13,-0.23203055113554,-0.009246417880058288
DAL,2020,14,-0.16597579643130303,0.023278915882110597
DAL,2020,15,-0.06534481570124626,0.032065391540527344
DAL,2020,16,-0.03910024408251047,0.044120057672262195
DAL,2020,17,-0.028295848704874515,0.013027051836252213
DAL,2021,1,0.05033216532319784,0.0008584491908550263
DAL,2021,2,0.06858714800328017,-0.0435632586479187
DAL,2021,3,0.05694142710417509,0.027114564180374147
DAL,2021,4,0.0678330458700657,-0.03064448982477188
DAL,2021,5,0.08006976917386055,-0.0012756615877151489
DAL,2021,6,0.13560836836695672,-0.02195819392800331
DAL,2021,8,0.14329625740647317,-0.0343381978571415
DAL,2021,9,0.12779279090464116,-0.0985259510576725
DAL,2021,10,0.0838150542229414,-0.031190011650323868
DAL,2021,11,0.0761327337473631,-0.1393593393266201
DAL,2021,12,-0.011351420357823373,-0.1273786224424839
DAL,2021,13,-0.02681664116680622,-0.11087158024311065
DAL,2021,14,-0.059259644150733946,-0.1194378525018692
DAL,2021,15,-0.06364303231239318,-0.23602220714092254
DAL,2021,16,-0.09349101260304452,-0.20663624703884126
DAL,2021,17,0.026289498060941698,-0.2592295452952385
DAL,2021,18,0.02673330083489418,-0.2516052260994911
DAL,2022,1,0.17680823877453805,-0.1782273307442665
DAL,2022,2,0.14588956907391548,-0.09013266451656818
DAL,2022,3,0.14005858971504495,-0.018679752573370935
DAL,2022,4,0.10153112186817452,0.034211084619164465
DAL,2022,5,0.04761780424742028,-0.04055117480456829
DAL,2022,6,-0.0975701101240702,-0.11450106613337993
DAL,2022,7,-0.04297510759206489,-0.11875217780470848
DAL,2022,8,-0.04395489851012826,-0.18507315963506699
DAL,2022,10,0.01313702603802085,-0.1698226233944297
DAL,2022,11,0.05128056481480599,-0.07882368471473455
DAL,2022,12,0.13156765177845955,-0.09828886892646552
DAL,2022,13,0.17059352472424508,-0.1065347170457244
DAL,2022,14,0.21437120670452714,-0.11212446447461843
DAL,2022,15,0.12334871785715222,-0.150631582736969
DAL,2022,16,0.1308674607425928,-0.1652786672115326
DAL,2022,17,0.08443523831665516,-0.08416674584150315
DAL,2022,18,0.05875532915815711,-0.1024786576628685
DAL,2023,1,-0.08032902190461755,-0.07739340215921402
DAL,2023,2,-0.06353139923885465,-0.13268965035676955
DAL,2023,3,-0.06971637541428208,-0.2703003391623497
DAL,2023,4,-0.06867925534024835,-0.24233118891716005
DAL,2023,5,-0.05601455681025982,-0.3051410704851151
DAL,2023,6,-0.05492113344371319,-0.23297605514526368
DAL,2023,8,-0.06058367602527141,-0.16256075352430344
DAL,2023,9,-0.04049919545650482,-0.07956382781267166
DAL,2023,10,-0.02909310385584831,-0.07601187974214554
DAL,2023,11,0.018951085954904558,-0.029576285183429717
DAL,2023,12,0.1489848740398884,-0.12172597199678421
DAL,2023,13,0.23419504314661027,-0.14530015587806702
DAL,2023,14,0.2420804902911186,-0.08852916359901428
DAL,2023,15,0.22580060586333275,-0.16278759837150575
DAL,2023,16,0.14579607620835305,-0.07803303599357606
DAL,2023,17,0.12286148443818093,-0.016021041944622994
DAL,2023,18,0.018966677784919738,0.01776708774268627
DAL,2024,1,0.06091243326663971,-0.06632131822407246
DAL,2024,2,0.03155374750494957,-0.08514426834881306
DAL,2024,3,0.017324230819940566,-0.033418618515133856
DAL,2024,4,0.006736395880579948,0.03488128185272217
DAL,2024,5,0.059869279339909556,0.03761475682258606
DAL,2024,6,0.009753874316811562,0.10537205338478088
DAL,2024,8,-0.07760038487613201,0.23226188421249389
DAL,2024,9,-0.04806840233504772,0.17780029773712158
DAL,2024,10,-0.050598795898258685,0.11731858551502228
DAL,2024,11,-0.23308597076684237,0.11629928126931191
DAL,2024,12,-0.3167904200032353,0.14598192349076272
DAL,2024,13,-0.21866310853511095,0.06376343816518784
DAL,2024,14,-0.24258744735270737,-0.014776460826396942
DAL,2024,15,-0.2445898476988077,0.0006815746426582336
DAL,2024,16,-0.06719391085207463,-0.0552297942340374
DAL,2024,17,-0.011701533943414688,-0.07732506319880486
DAL,2024,18,-0.06146416440606117,-0.015118294954299926
DEN,2016,3,0.0053029286209493876,-0.08184623531997204
DEN,2016,4,0.03259025032942494,-0.0636178981512785
DEN,2016,5,0.023723902413621545,-0.14477733010426164
DEN,2016,6,0.010829381830990314,-0.10345579199492931
DEN,2016,7,-0.013060933072119951,-0.12766399271786213
DEN,2016,8,0.00458554932847619,-0.13998829014599323
DEN,2016,9,-0.06678049555048346,-0.1916610799729824
DEN,2016,10,-0.08765059560537339,-0.10666220635175705
DEN,2016,12,-0.08967904448509216,-0.1525883696973324
DEN,2016,13,-0.03866454213857651,-0.1500704415142536
DEN,2016,14,-0.1147653505206108,-0.1691673941910267
DEN,2016,15,-0.08589473813772201,-0.13536118492484092
DEN,2016,16,-0.12896230369806289,-0.157460755109787
DEN,2016,17,-0.17002268135547638,-0.08930338025093079
DEN,2017,1,-0.21544480472803115,-0.17730806022882462
DEN,2017,2,-0.1601472245529294,-0.11937325894832611
DEN,2017,3,-0.12013254780322313,-0.16502199918031693
DEN,2017,4,-0.07235911209136248,-0.15609609074890612
DEN,2017,6,-0.02947626281529665,-0.24127026386559008
DEN,2017,7,-0.06462879795581103,-0.14992517344653605
DEN,2017,8,-0.13694407641887665,-0.16200302802026273
DEN,2017,9,-0.19576212912797927,-0.15090807639062404
DEN,2017,10,-0.22603547126054763,-0.11061931475996971
DEN,2017,11,-0.22025369126349686,-0.027705248445272446
DEN,2017,12,-0.20403160471469164,-0.03981305807828903
DEN,2017,13,-0.15984386224299668,-0.01722632385790348
DEN,2017,14,-0.20396178383380176,-0.01347719170153141
DEN,2017,15,-0.17026073802262545,-0.1557491783052683
DEN,2017,16,-0.12476140707731247,-0.20444637574255467
DEN,2017,17,-0.13383290022611619,-0.19157825596630573
DEN,2018,1,-0.12569472044706345,-0.1873553369194269
DEN,2018,2,-0.05956455767154693,-0.1471061769872904
