team,season,opp_def_epa_per_play,opp_def_pass_epa,opp_def_pass_yards
MIA,2018,0.014148812,0.081528634,12.361194
MIA,2019,0.09040737,0.2402344,12.65407
MIA,2020,-0.050810445,-0.08111237,12.749271
MIA,2021,-0.033558372,-0.044656366,11.396783
MIA,2022,0.011578624,0.029087968,10.293269
MIA,2023,-0.020380972,-0.043165483,10.873684
MIA,2024,-0.0025079201,0.008255444,10.490411
MIN,2016,-0.07964757,-0.095094286,10.95482
MIN,2017,-0.1228917,-0.16714036,10.274692
MIN,2018,-0.0964671,-0.14175224,11.114285
MIN,2019,-0.07116779,-0.061154865,10.403553
MIN,2020,0.080153786,0.14068176,11.918994
MIN,2021,-0.012052316,-0.055139337,11.665835
MIN,2022,0.0019345983,0.030530425,11.656863
MIN,2023,-0.03264311,0.019094491,10.065727
MIN,2024,-0.07270754,-0.051756997,10.744578
NE,2016,-0.068115026,-0.013131836,10.959239
NE,2017,-0.0090020355,0.030248998,11.768393
NE,2018,-0.046972256,-0.03613281,11.3
NE,2019,-0.1883551,-0.2939957,10.607261
NE,2020,0.032166243,0.06785949,11.177177
NE,2021,-0.09005888,-0.10690695,10.774295
NE,2022,-0.08886429,-0.10584699,11.068682
NE,2023,-0.0655463,0.014676503,10.245946
NE,2024,0.050389316,0.13261844,10.83526
NO,2016,0.052447435,0.14117603,12.150794
NO,2017,-0.037957873,-0.051769707,11.805471
NO,2018,-0.02160562,0.054222003,12.0390625
NO,2019,-0.054271657,-0.020173602,11.32345
NO,2020,-0.057857774,-0.07192105,11.288288
NO,2021,-0.11061419,-0.09504075,11.195122
NO,2022,-0.037923243,-0.083039045,10.599379
NO,2023,-0.109492734,-0.12369089,11.315315
NO,2024,0.006380898,-0.005036235,11.734973
NYG,2016,-0.07478746,-0.06244064,11.544716
NYG,2017,-0.01631891,0.046105746,12.100864
NYG,2018,0.04797485,0.1133057,11.682321
NYG,2019,0.02438187,0.18027595,12.116531
NYG,2020,0.015790153,0.06923075,10.64433
NYG,2021,0.0021253836,0.030234568,10.059702
NYG,2022,0.037667174,0.008798286,11.200573
NYG,2023,-0.03167717,-0.0520693,11.204852
NYG,2024,0.040408768,0.10477743,11.085959
NYJ,2016,0.018226992,0.15339634,11.74928
NYJ,2017,-0.006057703,0.054435458,11.8662615
NYJ,2018,-0.013144577,0.048626605,11.87466
NYJ,2019,-0.046172634,0.03028393,11.022038
NYJ,2020,0.05845546,0.18941319,10.992823
NYJ,2021,0.09402134,0.2145306,11.675811
NYJ,2022,-0.061792456,-0.08802152,10.161384
NYJ,2023,-0.10719497,-0.15513106,10.166134
NYJ,2024,0.048451588,0.03861746,10.972477
PHI,2016,-0.046664033,-0.044759642,12.129129
PHI,2017,-0.10442321,-0.12309518,10.69697
PHI,2018,0.010363919,0.04481588,11.076738
PHI,2019,-0.029076105,0.027780326,11.885057
PHI,2020,0.011880559,0.057831258,11.324176
PHI,2021,-0.010782388,0.0474542,9.7212715
PHI,2022,-0.051374737,-0.14726757,10.137143
PHI,2023,0.041935828,0.05039803,10.708236
PHI,2024,-0.057879124,-0.091757074,9.691395
PIT,2016,-0.007716563,0.026743889,10.868767
PIT,2017,-0.039485168,-0.06975622,12.154882
PIT,2018,-0.0074220495,0.042970072,11.17127
PIT,2019,-0.11713836,-0.117177255,11.003184
PIT,2020,-0.08446879,-0.15897511,11.724833
PIT,2021,-0.02290024,-0.013036654,11.202817
PIT,2022,0.0120673105,0.073301904,12.246988
PIT,2023,-0.056538366,-0.062769786,11.965517
PIT,2024,-0.025132218,0.014924868,10.866492
SEA,2016,-0.0680448,0.029325465,11.734139
SEA,2017,-0.058634344,-0.09639519,11.126154
SEA,2018,-0.010434672,0.014246846,11.557747
SEA,2019,-0.00908191,0.0271048,11.506527
SEA,2020,0.013064574,0.11022583,10.691112
SEA,2021,-0.004009548,0.09076666,10.758465
SEA,2022,0.0053144954,0.009629164,11.344024
SEA,2023,0.04019476,0.052684147,10.920513
SEA,2024,-0.010260276,-0.005077414,10.592992
SF,2016,0.053680457,0.14614013,12.462733
SF,2017,0.0092594735,0.07998665,11.46221
SF,2018,0.04108744,0.14323542,11.508721
SF,2019,-0.1183586,-0.18231891,9.666667
SF,2020,0.0035862492,-0.021898385,10.340176
SF,2021,-0.007787928,-0.0070720213,10.413979
SF,2022,-0.113561496,-0.123702,10.529563
SF,2023,-0.045505784,-0.11603089,9.631707
SF,2024,0.06454834,0.020682482,10.284023
TB,2016,-0.019404797,0.005041969,12.236311
TB,2017,0.019623457,0.12848546,11.606469
TB,2018,0.074631706,0.1667627,11.325582
TB,2019,-0.03681219,-0.03732163,11.389706
TB,2020,-0.03901908,-0.013116548,10.119719
TB,2021,-0.055116702,-0.089509144,9.768539
TB,2022,-0.018629132,-0.013213501,10.4175825
TB,2023,-0.040177315,0.02020642,11.306931
TB,2024,0.0043056854,0.044958796,10.679426
TEN,2016,0.0042179315,0.105304874,11.81701
TEN,2017,-0.023929669,0.03399387,11.102703
TEN,2018,-0.021593638,0.02178817,11.035608
TEN,2019,-0.037808668,0.02024251,11.284974
TEN,2020,0.0891367,0.18652895,10.858156
TEN,2021,-0.045444846,-0.02519847,11.35443
TEN,2022,-0.009191814,0.0629825,11.241458
