game_id,season,week,posteam,defteam,rusher_player_name,rusher_player_id,rush_attempts,rush_yards,rush_tds,yards_after_contact,temp,wind,roof,surface,home_team,away_team,home_score,away_score,spread_line,total_line,is_dome,is_home,opp_def_epa_per_play,opp_def_rush_epa,opp_def_rush_yards,avg_rush_yards_l4,avg_rush_tds_l4,avg_rush_attempts_l4
2017_15_NYJ_NO,2017,15,NYJ,NO,E.McGuire,00-0033295,4.0,24.0,0.0,0.0,59.0,0.0,dome,sportturf,NO,NYJ,31,19,16.5,47.0,1,0,-0.037957873,-0.029591829,4.401478,23.25,0.0,8.0
2017_15_NYJ_NO,2017,15,NYJ,NO,M.Forte,00-0026184,7.0,24.0,0.0,0.0,59.0,0.0,dome,sportturf,NO,NYJ,31,19,16.5,47.0,1,0,-0.037957873,-0.029591829,4.401478,43.5,0.5,11.25
2017_15_PHI_NYG,2017,15,NYG,PHI,O.Darkwa,00-0030860,9.0,7.0,1.0,0.0,35.0,0.0,outdoors,fieldturf,NYG,PHI,29,34,-7.5,40.5,0,1,-0.10442321,-0.1522873,3.7091987,41.25,0.5,13.75
2017_15_PHI_NYG,2017,15,NYG,PHI,S.Vereen,00-0027994,5.0,15.0,0.0,0.0,35.0,0.0,outdoors,fieldturf,NYG,PHI,29,34,-7.5,40.5,0,1,-0.10442321,-0.1522873,3.7091987,17.5,0.0,4.75
2017_15_PHI_NYG,2017,15,NYG,PHI,W.Gallman,00-0033950,8.0,39.0,0.0,0.0,35.0,0.0,outdoors,fieldturf,NYG,PHI,29,34,-7.5,40.5,0,1,-0.10442321,-0.1522873,3.7091987,31.5,0.0,7.5
2017_15_PHI_NYG,2017,15,PHI,NYG,C.Clement,00-0033725,4.0,17.0,0.0,0.0,35.0,0.0,outdoors,fieldturf,NYG,PHI,29,34,-7.5,40.5,0,0,-0.01631891,-0.059869226,4.1659484,27.0,0.25,5.0
2017_15_PHI_NYG,2017,15,PHI,NYG,J.Ajayi,00-0031590,12.0,49.0,0.0,0.0,35.0,0.0,outdoors,fieldturf,NYG,PHI,29,34,-7.5,40.5,0,0,-0.01631891,-0.059869226,4.1659484,57.5,0.25,9.0
2017_15_PHI_NYG,2017,15,PHI,NYG,L.Blount,00-0027325,7.0,21.0,0.0,0.0,35.0,0.0,outdoors,fieldturf,NYG,PHI,29,34,-7.5,40.5,0,0,-0.01631891,-0.059869226,4.1659484,48.0,0.0,10.75
2017_15_TEN_SF,2017,15,SF,TEN,C.Hyde,00-0031045,16.0,25.0,0.0,0.0,65.0,17.0,outdoors,grass,SF,TEN,25,23,2.5,44.5,0,1,-0.023929669,-0.18218371,3.5678391,69.25,0.25,16.0
2017_15_TEN_SF,2017,15,SF,TEN,M.Breida,00-0033308,5.0,16.0,0.0,0.0,65.0,17.0,outdoors,grass,SF,TEN,25,23,2.5,44.5,0,1,-0.023929669,-0.18218371,3.5678391,36.0,0.25,9.5
2017_15_TEN_SF,2017,15,TEN,SF,D.Henry,00-0032764,7.0,19.0,0.0,0.0,65.0,17.0,outdoors,grass,SF,TEN,25,23,2.5,44.5,0,0,0.0092594735,-0.10443358,3.790224,60.0,0.5,9.75
2017_15_TEN_SF,2017,15,TEN,SF,D.Murray,00-0028009,18.0,59.0,0.0,0.0,65.0,17.0,outdoors,grass,SF,TEN,25,23,2.5,44.5,0,0,0.0092594735,-0.10443358,3.790224,29.75,0.25,10.5
2017_16_ATL_NO,2017,16,ATL,NO,D.Freeman,00-0031285,11.0,36.0,0.0,0.0,59.0,0.0,dome,sportturf,NO,ATL,23,13,5.5,52.0,1,0,-0.037957873,-0.029591829,4.401478,84.25,0.75,17.25
2017_16_ATL_NO,2017,16,ATL,NO,T.Coleman,00-0032058,6.0,12.0,0.0,0.0,59.0,0.0,dome,sportturf,NO,ATL,23,13,5.5,52.0,1,0,-0.037957873,-0.029591829,4.401478,48.5,0.75,14.0
2017_16_ATL_NO,2017,16,NO,ATL,A.Kamara,00-0033906,12.0,32.0,0.0,0.0,59.0,0.0,dome,sportturf,NO,ATL,23,13,5.5,52.0,1,1,-0.012673999,-0.058632992,4.141791,58.25,0.75,8.75
2017_16_ATL_NO,2017,16,NO,ATL,D.Brees,00-0020531,4.0,-4.0,0.0,0.0,59.0,0.0,dome,sportturf,NO,ATL,23,13,5.5,52.0,1,1,-0.012673999,-0.058632992,4.141791,-1.0,0.25,4.25
2017_16_ATL_NO,2017,16,NO,ATL,M.Ingram,00-0027966,13.0,44.0,1.0,0.0,59.0,0.0,dome,sportturf,NO,ATL,23,13,5.5,52.0,1,1,-0.012673999,-0.058632992,4.141791,59.75,0.75,12.25
2017_16_BUF_NE,2017,16,BUF,NE,L.McCoy,00-0027029,17.0,71.0,0.0,0.0,35.0,7.0,outdoors,fieldturf,NE,BUF,37,16,11.0,47.5,0,0,-0.0090020355,0.0030493143,4.707692,87.0,0.5,22.25
2017_16_BUF_NE,2017,16,BUF,NE,M.Tolbert,00-0026069,3.0,-3.0,0.0,0.0,35.0,7.0,outdoors,fieldturf,NE,BUF,37,16,11.0,47.5,0,0,-0.0090020355,0.0030493143,4.707692,19.5,0.0,4.25
2017_16_BUF_NE,2017,16,BUF,NE,T.Taylor,00-0028118,3.0,16.0,0.0,0.0,35.0,7.0,outdoors,fieldturf,NE,BUF,37,16,11.0,47.5,0,0,-0.0090020355,0.0030493143,4.707692,34.75,0.5,5.5
2017_16_BUF_NE,2017,16,NE,BUF,D.Lewis,00-0028087,24.0,129.0,1.0,0.0,35.0,7.0,outdoors,fieldturf,NE,BUF,37,16,11.0,47.5,0,1,-0.010783824,0.01595602,4.27897,72.0,0.25,12.0
2017_16_BUF_NE,2017,16,NE,BUF,M.Gillislee,00-0030433,6.0,28.0,1.0,0.0,35.0,7.0,outdoors,fieldturf,NE,BUF,37,16,11.0,47.5,0,1,-0.010783824,0.01595602,4.27897,40.25,0.0,10.25
2017_16_CLE_CHI,2017,16,CHI,CLE,Jo.Howard,00-0032780,22.0,44.0,2.0,0.0,24.0,8.0,outdoors,grass,CHI,CLE,20,3,5.5,37.0,0,1,0.01741966,-0.144395,3.3533192,57.0,0.5,13.25
2017_16_CLE_CHI,2017,16,CHI,CLE,M.Trubisky,00-0033869,7.0,44.0,1.0,0.0,24.0,8.0,outdoors,grass,CHI,CLE,20,3,5.5,37.0,0,1,0.01741966,-0.144395,3.3533192,34.25,0.25,4.25
2017_16_CLE_CHI,2017,16,CLE,CHI,D.Johnson Jr.,00-0032257,4.0,20.0,0.0,0.0,24.0,8.0,outdoors,grass,CHI,CLE,20,3,5.5,37.0,0,0,-0.04790596,-0.10047607,4.0046296,17.0,0.25,6.5
2017_16_CLE_CHI,2017,16,CLE,CHI,D.Kizer,00-0033899,3.0,8.0,0.0,0.0,24.0,8.0,outdoors,grass,CHI,CLE,20,3,5.5,37.0,0,0,-0.04790596,-0.10047607,4.0046296,35.5,0.25,6.5
2017_16_CLE_CHI,2017,16,CLE,CHI,I.Crowell,00-0030656,12.0,44.0,0.0,0.0,24.0,8.0,outdoors,grass,CHI,CLE,20,3,5.5,37.0,0,0,-0.04790596,-0.10047607,4.0046296,82.25,0.0,12.5
2017_16_DEN_WAS,2017,16,DEN,WAS,B.Osweiler,00-0029682,4.0,27.0,0.0,0.0,43.0,7.0,outdoors,grass,WAS,DEN,27,11,3.0,39.5,0,0,-0.04252692,0.0118300645,4.4788136,20.5,0.5,3.5
2017_16_DEN_WAS,2017,16,DEN,WAS,C.Anderson,00-0029854,16.0,88.0,1.0,0.0,43.0,7.0,outdoors,grass,WAS,DEN,27,11,3.0,39.5,0,0,-0.04252692,0.0118300645,4.4788136,71.25,0.0,18.0
2017_16_DEN_WAS,2017,16,DEN,WAS,D.Booker,00-0032972,8.0,47.0,0.0,0.0,43.0,7.0,outdoors,grass,WAS,DEN,27,11,3.0,39.5,0,0,-0.04252692,0.0118300645,4.4788136,29.0,0.0,10.0
2017_16_DEN_WAS,2017,16,WAS,DEN,K.Bibbs,00-0031102,7.0,26.0,0.0,0.0,43.0,7.0,outdoors,grass,WAS,DEN,27,11,3.0,39.5,0,1,-0.05753634,-0.21901359,3.3411214,26.75,0.0,6.0
2017_16_DEN_WAS,2017,16,WAS,DEN,K.Cousins,00-0029604,5.0,8.0,0.0,0.0,43.0,7.0,outdoors,grass,WAS,DEN,27,11,3.0,39.5,0,1,-0.05753634,-0.21901359,3.3411214,6.5,0.5,3.25
2017_16_DEN_WAS,2017,16,WAS,DEN,S.Perine,00-0033526,17.0,53.0,0.0,0.0,43.0,7.0,outdoors,grass,WAS,DEN,27,11,3.0,39.5,0,1,-0.05753634,-0.21901359,3.3411214,55.0,0.0,16.75
2017_16_DET_CIN,2017,16,CIN,DET,A.Dalton,00-0027973,3.0,-1.0,0.0,0.0,35.0,2.0,outdoors,fieldturf,CIN,DET,26,17,-3.0,43.5,0,1,-0.08535152,-0.083891205,4.1666665,9.75,0.0,3.25
2017_16_DET_CIN,2017,16,CIN,DET,B.Hill,00-0033567,4.0,17.0,0.0,0.0,35.0,2.0,outdoors,fieldturf,CIN,DET,26,17,-3.0,43.5,0,1,-0.08535152,-0.083891205,4.1666665,12.0,0.0,5.0
2017_16_DET_CIN,2017,16,CIN,DET,G.Bernard,00-0030456,23.0,116.0,1.0,0.0,35.0,2.0,outdoors,fieldturf,CIN,DET,26,17,-3.0,43.5,0,1,-0.08535152,-0.083891205,4.1666665,45.25,0.25,10.25
2017_16_DET_CIN,2017,16,CIN,DET,J.Mixon,00-0033897,3.0,12.0,0.0,0.0,35.0,2.0,outdoors,fieldturf,CIN,DET,26,17,-3.0,43.5,0,1,-0.08535152,-0.083891205,4.1666665,58.5,0.5,14.75
2017_16_DET_CIN,2017,16,DET,CIN,A.Abdullah,00-0032104,6.0,21.0,0.0,0.0,35.0,2.0,outdoors,fieldturf,CIN,DET,26,17,-3.0,43.5,0,0,-0.032997824,-0.03128777,4.184049,34.0,0.5,12.25
2017_16_DET_CIN,2017,16,DET,CIN,T.Green,00-0033748,7.0,43.0,1.0,0.0,35.0,2.0,outdoors,fieldturf,CIN,DET,26,17,-3.0,43.5,0,0,-0.032997824,-0.03128777,4.184049,33.666666666666664,0.3333333333333333,8.666666666666666
2017_16_DET_CIN,2017,16,DET,CIN,T.Riddick,00-0030107,8.0,16.0,0.0,0.0,35.0,2.0,outdoors,fieldturf,CIN,DET,26,17,-3.0,43.5,0,0,-0.032997824,-0.03128777,4.184049,29.75,0.75,8.0
2017_16_IND_BAL,2017,16,BAL,IND,A.Collins,00-0032426,18.0,51.0,0.0,0.0,63.0,14.0,outdoors,grass,BAL,IND,23,16,13.5,41.0,0,1,0.0391224,-0.06059136,3.9487705,68.5,1.0,15.25
2017_16_IND_BAL,2017,16,BAL,IND,J.Allen,00-0031577,8.0,37.0,0.0,0.0,63.0,14.0,outdoors,grass,BAL,IND,23,16,13.5,41.0,0,1,0.0391224,-0.06059136,3.9487705,33.0,0.75,7.75
2017_16_IND_BAL,2017,16,BAL,IND,J.Flacco,00-0026158,4.0,-2.0,0.0,0.0,63.0,14.0,outdoors,grass,BAL,IND,23,16,13.5,41.0,0,1,0.0391224,-0.06059136,3.9487705,13.25,0.25,4.0
2017_16_IND_BAL,2017,16,IND,BAL,F.Gore,00-0023500,17.0,68.0,0.0,0.0,63.0,14.0,outdoors,grass,BAL,IND,23,16,13.5,41.0,0,0,-0.108826794,-0.091220774,4.091954,71.0,0.25,19.0
2017_16_IND_BAL,2017,16,IND,BAL,J.Brissett,00-0033119,3.0,8.0,0.0,0.0,63.0,14.0,outdoors,grass,BAL,IND,23,16,13.5,41.0,0,0,-0.108826794,-0.091220774,4.091954,20.0,0.25,4.25
2017_16_IND_BAL,2017,16,IND,BAL,M.Mack,00-0033951,4.0,17.0,0.0,0.0,63.0,14.0,outdoors,grass,BAL,IND,23,16,13.5,41.0,0,0,-0.108826794,-0.091220774,4.091954,23.5,0.0,5.75
2017_16_JAX_SF,2017,16,JAX,SF,B.Bortles,00-0031407,5.0,31.0,0.0,0.0,52.0,0.0,outdoors,grass,SF,JAX,44,33,-4.0,43.0,0,0,0.0092594735,-0.10443358,3.790224,22.75,0.5,5.0
2017_16_JAX_SF,2017,16,JAX,SF,L.Fournette,00-0033856,18.0,48.0,1.0,0.0,52.0,0.0,outdoors,grass,SF,JAX,44,33,-4.0,43.0,0,0,0.0092594735,-0.10443358,3.790224,73.5,0.5,21.25
2017_16_JAX_SF,2017,16,JAX,SF,T.Yeldon,00-0032209,5.0,13.0,1.0,0.0,52.0,0.0,outdoors,grass,SF,JAX,44,33,-4.0,43.0,0,0,0.0092594735,-0.10443358,3.790224,15.75,0.0,4.5
2017_16_JAX_SF,2017,16,SF,JAX,C.Hyde,00-0031045,21.0,54.0,1.0,0.0,52.0,0.0,outdoors,grass,SF,JAX,44,33,-4.0,43.0,0,1,-0.14908136,-0.10152228,4.3356643,51.0,0.25,15.75
2017_16_JAX_SF,2017,16,SF,JAX,J.Garoppolo,00-0031345,3.0,3.0,1.0,0.0,52.0,0.0,outdoors,grass,SF,JAX,44,33,-4.0,43.0,0,1,-0.14908136,-0.10152228,4.3356643,3.75,0.0,4.0
2017_16_JAX_SF,2017,16,SF,JAX,M.Breida,00-0033308,11.0,74.0,1.0,0.0,52.0,0.0,outdoors,grass,SF,JAX,44,33,-4.0,43.0,0,1,-0.14908136,-0.10152228,4.3356643,35.75,0.25,9.5
2017_16_LAC_NYJ,2017,16,LAC,NYJ,B.Oliver,00-0031277,8.0,9.0,0.0,0.0,40.0,6.0,outdoors,fieldturf,NYJ,LAC,7,14,-7.5,42.5,0,0,-0.006057703,-0.10655482,4.0493565,15.0,0.0,4.5
2017_16_LAC_NYJ,2017,16,LAC,NYJ,M.Gordon,00-0032144,19.0,81.0,1.0,0.0,40.0,6.0,outdoors,fieldturf,NYJ,LAC,7,14,-7.5,42.5,0,0,-0.006057703,-0.10655482,4.0493565,74.5,0.5,20.25
2017_16_LAC_NYJ,2017,16,NYJ,LAC,B.Petty,00-0031568,3.0,33.0,0.0,0.0,40.0,6.0,outdoors,fieldturf,NYJ,LAC,7,14,-7.5,42.5,0,1,-0.05898737,-0.009969834,4.87907,19.0,0.0,5.0
2017_16_LAC_NYJ,2017,16,NYJ,LAC,B.Powell,00-0028064,19.0,145.0,1.0,0.0,40.0,6.0,outdoors,fieldturf,NYJ,LAC,7,14,-7.5,42.5,0,1,-0.05898737,-0.009969834,4.87907,40.25,0.5,13.25
2017_16_LAC_NYJ,2017,16,NYJ,LAC,M.Forte,00-0026184,8.0,19.0,0.0,0.0,40.0,6.0,outdoors,fieldturf,NYJ,LAC,7,14,-7.5,42.5,0,1,-0.05898737,-0.009969834,4.87907,30.25,0.0,9.5
2017_16_LA_TEN,2017,16,LA,TEN,J.Goff,00-0033106,3.0,-6.0,1.0,0.0,39.0,11.0,outdoors,grass,TEN,LA,23,27,-5.5,46.0,0,0,-0.023929669,-0.18218371,3.5678391,2.5,0.0,3.5
2017_16_LA_TEN,2017,16,LA,TEN,T.Gurley,00-0032241,22.0,118.0,0.0,0.0,39.0,11.0,outdoors,grass,TEN,LA,23,27,-5.5,46.0,0,0,-0.023929669,-0.18218371,3.5678391,99.0,1.25,17.5
2017_16_LA_TEN,2017,16,TEN,LA,D.Henry,00-0032764,8.0,25.0,0.0,0.0,39.0,11.0,outdoors,grass,TEN,LA,23,27,-5.5,46.0,0,1,-0.08279907,-0.022278368,4.6930456,56.75,0.5,9.75
2017_16_LA_TEN,2017,16,TEN,LA,D.Murray,00-0028009,15.0,48.0,1.0,0.0,39.0,11.0,outdoors,grass,TEN,LA,23,27,-5.5,46.0,0,1,-0.08279907,-0.022278368,4.6930456,42.0,0.25,13.0
2017_16_LA_TEN,2017,16,TEN,LA,M.Mariota,00-0032268,3.0,24.0,0.0,0.0,39.0,11.0,outdoors,grass,TEN,LA,23,27,-5.5,46.0,0,1,-0.08279907,-0.022278368,4.6930456,20.75,0.5,4.25
2017_16_MIA_KC,2017,16,KC,MIA,A.Smith,00-0023436,4.0,13.0,0.0,0.0,23.0,15.0,outdoors,grass,KC,MIA,29,13,11.0,43.5,0,1,-0.010884296,-0.09809055,4.102088,24.75,0.0,4.5
2017_16_MIA_KC,2017,16,KC,MIA,K.Hunt,00-0033923,29.0,91.0,1.0,0.0,23.0,15.0,outdoors,grass,KC,MIA,29,13,11.0,43.5,0,1,-0.010884296,-0.09809055,4.102088,82.0,0.5,17.25
2017_16_MIA_KC,2017,16,MIA,KC,K.Drake,00-0033118,13.0,57.0,0.0,0.0,23.0,15.0,outdoors,grass,KC,MIA,29,13,11.0,43.5,0,0,-0.011228553,-0.028962553,4.2663655,83.0,0.5,18.25
2017_16_MIN_GB,2017,16,GB,MIN,A.Jones,00-0033293,3.0,13.0,0.0,0.0,10.0,6.0,outdoors,grass,GB,MIN,0,16,-8.5,41.0,0,1,-0.1228917,-0.15163289,3.6730769,17.25,0.0,3.75
2017_16_MIN_GB,2017,16,GB,MIN,B.Hundley,00-0031589,5.0,48.0,0.0,0.0,10.0,6.0,outdoors,grass,GB,MIN,0,16,-8.5,41.0,0,1,-0.1228917,-0.15163289,3.6730769,34.5,0.25,5.25
