team,season,week,l5_qb_epa
MIA,2011,17,2.498029661178589
MIA,2012,1,0.8103385806083679
MIA,2012,2,-3.1227078080177306
MIA,2012,3,0.13742789030075073
MIA,2012,4,-1.3797029852867126
MIA,2012,5,-1.6186502814292907
MIA,2012,6,-0.001480841636657715
MIA,2012,8,3.685408914089203
MIA,2012,9,3.6651299834251403
MIA,2012,10,5.484492361545563
MIA,2012,11,0.45847307443618773
MIA,2012,12,-1.8124705672264099
MIA,2012,13,-1.0532379627227784
MIA,2012,14,-2.6827532768249513
MIA,2012,15,-4.651056385040283
MIA,2012,16,-0.18790674209594727
MIA,2012,17,0.5054759502410888
MIA,2013,1,-2.0377026081085203
MIA,2013,2,0.4348702907562256
MIA,2013,3,2.0215118885040284
MIA,2013,4,0.5070369005203247
MIA,2013,5,-0.6259756326675415
MIA,2013,7,0.8218432068824768
MIA,2013,8,-2.5447348952293396
MIA,2013,9,-4.558742463588715
MIA,2013,10,-4.062595987319947
MIA,2013,11,-1.9577064990997315
MIA,2013,12,-1.521186316013336
MIA,2013,13,-0.026860630512237547
MIA,2013,14,3.4875985980033875
MIA,2013,15,4.128753304481506
MIA,2013,16,6.0531014680862425
MIA,2013,17,1.8034914493560792
MIA,2014,1,1.0624363899230957
MIA,2014,2,-1.6335463762283324
MIA,2014,3,-3.892607045173645
MIA,2014,4,-9.410258412361145
MIA,2014,6,-2.8874358415603636
MIA,2014,7,-0.506713604927063
MIA,2014,8,2.386818790435791
MIA,2014,9,2.415200138092041
MIA,2014,10,8.77362413406372
MIA,2014,11,5.2146038055419925
MIA,2014,12,5.551647281646728
MIA,2014,13,4.204678726196289
MIA,2014,14,4.456457996368409
MIA,2014,15,0.2999335765838623
MIA,2014,16,0.47016348838806155
MIA,2014,17,2.683729124069214
MIA,2015,1,-0.7693248271942139
MIA,2015,2,0.47658469080924987
MIA,2015,3,3.6516704738140104
MIA,2015,4,1.3010401904582978
MIA,2015,6,-6.665158158540725
MIA,2015,7,-3.230638200044632
MIA,2015,8,-0.9457836151123047
MIA,2015,9,-5.5279035568237305
MIA,2015,10,-2.004429006576538
MIA,2015,11,2.4816229820251463
MIA,2015,12,-0.050255966186523435
MIA,2015,13,-2.473292624950409
MIA,2015,14,-1.6720309138298035
MIA,2015,15,-1.9240694046020508
MIA,2015,16,-2.072247791290283
MIA,2015,17,-0.4448831558227539
MIA,2016,1,2.824718940258026
MIA,2016,2,2.8718028903007506
MIA,2016,3,5.641021203994751
MIA,2016,4,4.188445377349853
MIA,2016,5,1.3348153114318848
MIA,2016,6,-3.8703307151794433
MIA,2016,7,-0.992220115661621
MIA,2016,9,-2.8016528129577636
MIA,2016,10,-1.328419017791748
MIA,2016,11,3.506955051422119
MIA,2016,12,4.243759059906006
MIA,2016,13,5.151111888885498
MIA,2016,14,1.9486223220825196
MIA,2016,15,2.977400875091553
MIA,2016,16,3.5065197944641113
MIA,2016,17,6.222469234466553
MIA,2017,2,4.634693241119384
MIA,2017,3,8.525355434417724
MIA,2017,4,4.999219131469727
MIA,2017,5,0.07266883850097657
MIA,2017,6,-3.8328514099121094
MIA,2017,7,-4.64892463684082
MIA,2017,8,-5.572190284729004
MIA,2017,9,-9.612809753417968
MIA,2017,10,-5.274041175842285
MIA,2017,11,-1.6833225250244142
MIA,2017,12,1.0833515167236327
MIA,2017,13,-1.6084844589233398
MIA,2017,14,3.134391021728516
MIA,2017,15,1.3135261058807373
MIA,2017,16,-1.6999002933502196
MIA,2017,17,-3.5593004703521727
MIA,2018,1,-1.7189459025859832
MIA,2018,2,0.2732096970081329
MIA,2018,3,-1.4420407474040986
MIA,2018,4,2.8168116390705107
MIA,2018,5,-0.8518630206584931
MIA,2018,6,-3.7603671550750732
MIA,2018,7,-2.472113513946533
MIA,2018,8,-0.09218893051147461
MIA,2018,9,-4.153912830352783
MIA,2018,10,-3.212277889251709
MIA,2018,12,-3.2177985191345213
MIA,2018,13,-3.781592082977295
MIA,2018,14,-5.165556335449219
MIA,2018,15,-1.6295549392700195
MIA,2018,16,-4.924470710754394
MIA,2018,17,-3.6354415893554686
MIA,2019,1,-8.17087230682373
MIA,2019,2,-7.951176440715789
MIA,2019,3,-16.095820796489715
MIA,2019,4,-13.326852786540986
MIA,2019,6,-12.43021892309189
MIA,2019,7,-13.11984180212021
MIA,2019,8,-11.382286500930785
MIA,2019,9,-5.697068786621093
MIA,2019,10,-1.0637985229492188
MIA,2019,11,-1.2478880405426025
MIA,2019,12,1.758274507522583
MIA,2019,13,-0.9115898609161377
MIA,2019,14,2.44328088760376
MIA,2019,15,-0.16059781312942506
MIA,2019,16,0.9618617534637451
MIA,2019,17,5.6289890766143795
MIA,2020,1,8.895341634750366
MIA,2020,2,4.501358938217163
MIA,2020,3,5.7915066361427305
MIA,2020,4,7.357109832763672
MIA,2020,5,4.25986328125
MIA,2020,6,6.543357849121094
MIA,2020,8,7.182881927490234
MIA,2020,9,3.8898197174072267
MIA,2020,10,4.296854400634766
MIA,2020,11,5.561081123352051
MIA,2020,12,-1.0948087692260742
MIA,2020,13,1.1665719032287598
MIA,2020,14,4.6246240615844725
MIA,2020,15,2.9830339908599854
MIA,2020,16,0.6066771507263183
MIA,2020,17,0.9720314025878907
MIA,2021,1,-2.8029274940490723
MIA,2021,2,-3.960292935371399
MIA,2021,3,-7.310647559165955
MIA,2021,4,-7.385907769203186
MIA,2021,5,-5.912940013408661
MIA,2021,6,-3.567593777179718
MIA,2021,7,-2.120992934703827
MIA,2021,8,1.83948575258255
MIA,2021,9,1.981150209903717
MIA,2021,10,1.451282525062561
MIA,2021,11,1.2664840936660766
MIA,2021,12,2.855370354652405
MIA,2021,13,3.014821457862854
MIA,2021,15,4.372274470329285
MIA,2021,16,4.662171936035156
MIA,2021,17,6.043896603584289
MIA,2021,18,-0.27868945598602296
MIA,2022,1,-2.1092865228652955
MIA,2022,2,-1.7672141313552856
MIA,2022,3,3.9633059978485106
MIA,2022,4,4.712686204910279
MIA,2022,5,7.60079015493393
MIA,2022,6,4.893415629863739
MIA,2022,7,4.486491572856903
MIA,2022,8,0.22218416929244994
MIA,2022,9,3.5047765612602233
MIA,2022,10,7.430640125274659
MIA,2022,12,14.279110050201416
MIA,2022,13,15.172513008117676
MIA,2022,14,11.800518035888672
MIA,2022,15,5.199414825439453
MIA,2022,16,1.2004246711730957
MIA,2022,17,-2.199519860744476
MIA,2022,18,-4.177479135990143
MIA,2023,1,-3.336901533603668
MIA,2023,2,3.6651992201805115
MIA,2023,3,6.122214734554291
MIA,2023,4,11.206176066398621
MIA,2023,5,10.82956895828247
MIA,2023,6,11.87776038646698
MIA,2023,7,9.687052226066589
MIA,2023,8,6.665687537193298
MIA,2023,9,3.9076223134994508
MIA,2023,11,4.709180951118469
MIA,2023,12,6.0318663120269775
MIA,2023,13,3.697021150588989
MIA,2023,14,8.400672674179077
MIA,2023,15,4.396686983108521
MIA,2023,16,6.136635494232178
MIA,2023,17,6.6416620254516605
MIA,2023,18,5.663161212205887
MIA,2024,1,1.9783299267292023
MIA,2024,2,4.330648976564407
